公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
岩心科技（深圳）有限公司,AKULAKU,150-500人,B轮,南山区,Python后台开发/数据平台/Senior,3-5年,本科,15k-30k,"牛逼的伙伴,专注的开发,舒服的氛围,薪酬待遇","['3', '5']",4.0,"['15', '30']",18.75
深圳海链科技有限公司,海链科技,50-150人,A轮,南山区,Python 后台工程师,3-5年,本科,20k-35k,"腾讯系,技术导向,福利好","['3', '5']",4.0,"['20', '35']",23.75
深圳市百答科技有限公司,深圳市百答科技有限公司,50-150人,不需要融资,南山区,Python开发工程师,1-3年,本科,6k-12k,"互联网大咖,行业有前景,技术大牛","['1', '3']",2.0,"['6', '12']",7.5
深圳市木浪云数据有限公司,木浪云,15-50人,天使轮,南山区,Python,3-5年,本科,10k-15k,"与牛人共事,发展空间大,有原始期权","['3', '5']",4.0,"['10', '15']",11.25
深圳市迈卡网络科技有限公司,迈卡网络,15-50人,不需要融资,南山区,Python开发工程师,1-3年,大专,8k-12k,热招,"['1', '3']",2.0,"['8', '12']",9.0
深圳米筐科技有限公司,米筐 (Ricequant),50-150人,A轮,南山区,Python后台开发/数据平台 资深工程师,5-10年,本科,25K-40K,"量化交易,业内知名,双休,超长年假","['5', '10']",7.5,"['25', '40']",28.75
元一灵通智能科技（深圳）有限公司,元一灵通智能,50-150人,C轮,南山区,Python量化工程师,3-5年,本科,15k-30k,"年终奖,入职购五险,晋升机会高,年度旅游","['3', '5']",4.0,"['15', '30']",18.75
翼果（深圳）科技有限公司,翼果科技,15-50人,天使轮,南山区,Python高级后台工程师(科技园),1-3年,本科,20k-40k,"技术氛围好,数据量大,上升空间大,福利多","['1', '3']",2.0,"['20', '40']",25.0
前海企保科技（深圳）有限公司,前海企保,15-50人,A轮,南山区,Python工程师,3-5年,本科,25k-50k,"薪酬高,福利好,美女多","['3', '5']",4.0,"['25', '50']",31.25
岩心科技（深圳）有限公司,AKULAKU,150-500人,B轮,南山区,高级Python工程师/面向对象高级Python工,3-5年,本科,15k-30k,"数据建模,机器学习,专注专业","['3', '5']",4.0,"['15', '30']",18.75
深圳光启超材料技术有限公司,光启集团,500-2000人,上市公司,南山区,python开发工程师,3-5年,本科,15K-30K,"人工智能,公共安全,上市公司","['3', '5']",4.0,"['15', '30']",18.75
信必优(深圳)信息技术有限公司,Symbio-Freeborders,2000人以上,未融资,罗湖区,高级Python工程师（国信证券-乙方）,5-10年,大专,15k-19k,"双休,年终奖,六险一金,外包","['5', '10']",7.5,"['15', '19']",16.0
百丽电子商务（上海）有限公司,百丽新零售,500-2000人,不需要融资,南山区,Python开发工程师,3-5年,本科,15k-25k,Flask,"['3', '5']",4.0,"['15', '25']",17.5
深圳兆亮照明有限公司,深圳兆亮,150-500人,天使轮,宝安区,Python开发,3-5年,大专,15k-20k,"周末双休,带薪年假,学习机会多,技术大牛","['3', '5']",4.0,"['15', '20']",16.25
北京千锋互联科技有限公司,千锋教育,500-2000人,A轮,福田区,python讲师,3-5年,本科,20k-40k,"福利多多,工作灵活","['3', '5']",4.0,"['20', '40']",25.0
深圳码隆科技有限公司,码隆科技,50-150人,B轮,盐田区,高级python开发工程师（深圳）,1-3年,本科,20k-40k,发展前景广阔,"['1', '3']",2.0,"['20', '40']",25.0
深圳市天趣网络科技有限公司,云趣网络,50-150人,A轮,南山区,python后台开发工程师,1-3年,大专,10k-15k,"弹性时间,五险一金,餐补补贴,节日福利","['1', '3']",2.0,"['10', '15']",11.25
深圳淘乐网络科技有限公司,淘乐网络,150-500人,不需要融资,南山区,python开发（游戏客户端）,应届毕业生,本科,5k-9k,"年终奖,项目奖,免费三餐,双休",[],0.0,"['5', '9']",6.0
深圳市长亮科技股份有限公司,长亮科技,2000人以上,上市公司,南山区,python开发工程师（运维开发）,不限,本科,10k-20k,"技术大牛,氛围好,技术前沿",[],0.0,"['10', '20']",12.5
一泰慧安（深圳）科技有限公司,一泰慧安,少于15人,未融资,福田区,python工程师,3-5年,本科,12k-15k,"扁平化,发展大","['3', '5']",4.0,"['12', '15']",12.75
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,Python开发,3-5年,本科,20k-30k,"开发,能力论英雄","['3', '5']",4.0,"['20', '30']",22.5
深圳市点趣网络技术有限公司,点趣网络,50-150人,A轮,宝安区,Python助理开发工程师,不限,本科,5k-8k,O2O,[],0.0,"['5', '8']",5.75
深圳市掌世界网络科技有限公司,掌世界,150-500人,不需要融资,罗湖区,python开发工程师,1-3年,大专,5k-10k,"技术大牛,年度旅游,餐补,全勤奖","['1', '3']",2.0,"['5', '10']",6.25
上海微创软件股份有限公司北京分公司,微创,2000人以上,上市公司,盐田区,Python工程师-赴码隆科技,3-5年,本科,10k-20k,"六险一金,带薪年假,节日福利,技术大牛","['3', '5']",4.0,"['10', '20']",12.5
深圳光启超材料技术有限公司,光启集团,500-2000人,上市公司,南山区,高级Python开发工程师,3-5年,本科,15k-30k,上市公司,"['3', '5']",4.0,"['15', '30']",18.75
北京千锋互联科技有限公司,千锋教育,500-2000人,A轮,南山区,Python讲师,3-5年,本科,20k-40k,"薪资福利好,朝九晚六,五险一金,个人提升","['3', '5']",4.0,"['20', '40']",25.0
深圳大数点科技有限公司,大数点,15-50人,A轮,南山区,Python研发工程师,1-3年,本科,8k-14k,"奢侈品奖励,年度旅游,提成奖金,最前沿方向","['1', '3']",2.0,"['8', '14']",9.5
深圳市恒易嘉德科技有限公司,恒易,50-150人,不需要融资,南山区,Python开发工程师,1-3年,大专,15k-30k,"弹性,双薪,奖金,自由","['1', '3']",2.0,"['15', '30']",18.75
深圳市和沃翼起科技有限公司,和沃翼起,15-50人,不需要融资,南山区,Python开发工程师,1-3年,本科,4k-8k,"前景好,氛围好,还有很多","['1', '3']",2.0,"['4', '8']",5.0
万兴科技股份有限公司,万兴科技股份有限公司,150-500人,上市公司,南山区,Python开发工程师,3-5年,本科,15k-20k,"在线高并发,技术难度大,运维要求高","['3', '5']",4.0,"['15', '20']",16.25
深圳狗尾草智能科技有限公司,狗尾草智能科技,150-500人,A轮,南山区,高级Python后端开发工程师,5-10年,本科,20k-40k,"年终多薪,车补餐补,项目奖金,体检旅游","['5', '10']",7.5,"['20', '40']",25.0
深圳微自然创新科技有限公司,MicroNature,500-2000人,A轮,龙华新区,Python工程师,1-3年,本科,10k-16k,"技术大牛,绩效奖金,期权,员工旅游","['1', '3']",2.0,"['10', '16']",11.5
深圳市前海合派科技有限公司,合派科技,15-50人,未融资,南山区,python开发工程师,3-5年,本科,10k-20k,"大数据行业,平台大,福利好,周末双休","['3', '5']",4.0,"['10', '20']",12.5
速联（深圳）科技有限公司,速联科技,500-2000人,上市公司,南山区,高级python开发工程师,3-5年,本科,15K-30K,牛人团队，大平台，高挑战，福利好,"['3', '5']",4.0,"['15', '30']",18.75
深圳市埃提思科技开发有限公司,ITS,15-50人,天使轮,南山区,Python,1-3年,大专,8k-15k,项目奖励、团队奖励、广阔的发展空间,"['1', '3']",2.0,"['8', '15']",9.75
深圳市大疆创新科技有限公司,DJI大疆创新,2000人以上,未融资,南山区,Python软件工程师,3-5年,本科,20k-35k,"优秀项目,年终奖,扁平化团队,发展空间","['3', '5']",4.0,"['20', '35']",23.75
携程计算机技术（上海）有限公司,携程,2000人以上,上市公司,福田区,Python开发工程师,3-5年,本科,15k-25k,"福利待遇好,成长机会多,团队给力","['3', '5']",4.0,"['15', '25']",17.5
首汇焦点（北京）科技有限公司,首汇焦点,150-500人,B轮,南山区,Python 软件开发工程师（深圳）-影视行业,3-5年,大专,13k-26k,五险一金,"['3', '5']",4.0,"['13', '26']",16.25
广州市梦享网络技术有限公司,梦享网络,50-150人,A轮,南山区,Python开发工程师,3-5年,大专,10k-20k,"五险一金,弹性时间,扁平化管理,周末双休","['3', '5']",4.0,"['10', '20']",12.5
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,python后台开发工程师,3-5年,本科,15k-30k,"挑战大,前景好,弹性上班,福利好","['3', '5']",4.0,"['15', '30']",18.75
深圳市烧麦传媒科技有限公司,烧麦传媒（SMCM）,50-150人,不需要融资,南山区,高级python开发工程师（交易开发）,3-5年,本科,15k-30k,"福利好,平台大","['3', '5']",4.0,"['15', '30']",18.75
深圳市和美信息技术有限公司,和美信息,500-2000人,上市公司,南山区,Python软件工程师,1-3年,本科,15k-25k,人工智能,"['1', '3']",2.0,"['15', '25']",17.5
厦门笨鸟电子商务有限公司,笨鸟社交,150-500人,B轮,南山区,python工程师,1-3年,本科,20k-40k,海量数据,"['1', '3']",2.0,"['20', '40']",25.0
深圳市编玩边学教育科技有限公司,编玩边学,50-150人,B轮,南山区,python课程设计师/课程编辑/课程研发,不限,本科,7k-12k,"一年13薪,五险一金,节日福利,零食健身",[],0.0,"['7', '12']",8.25
深圳惠硕网络科技有限公司,惠硕游戏,15-50人,未融资,南山区,python开发工程师,1-3年,大专,10k-20k,"综合医疗,周末双休","['1', '3']",2.0,"['10', '20']",12.5
深圳智通财经信息科技服务有限公司,智通财经,50-150人,A轮,福田区,Python开发工程师,1-3年,大专,12k-18k,升职空间大,"['1', '3']",2.0,"['12', '18']",13.5
深圳市五一五游戏网络有限公司,515游戏,15-50人,未融资,南山区,Python,3-5年,大专,15k-25k,"国内外旅游,五险一金,任性下午茶,年终奖金","['3', '5']",4.0,"['15', '25']",17.5
上海贝笃网络科技有限公司,贝笃科技,150-500人,未融资,宝安区,Python开发,应届毕业生,大专,3k-5k,"五险一金,双休,带薪年假,绩效奖金",[],0.0,"['3', '5']",3.5
深圳市乔安科技有限公司,乔安,150-500人,不需要融资,龙华新区,后端python工程师,3-5年,本科,10k-18k,"项目奖金,绩效奖金,住房补贴,年度旅游","['3', '5']",4.0,"['10', '18']",12.0
深圳市无极云区块链互联网技术开发有限公司,无极云区块链,50-150人,不需要融资,南山区,高级Python后端工程师,3-5年,本科,20k-40k,"MySQL,交易所","['3', '5']",4.0,"['20', '40']",25.0
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,Python 数据分析,3-5年,大专,13k-25k,"最先进的技,大项目,交通便利,环境好","['3', '5']",4.0,"['13', '25']",16.0
深圳市迅雷网络技术有限公司,迅雷,500-2000人,上市公司,南山区,手机迅雷-Go/C++/Python服务器开发,3-5年,本科,15k-30k,"大流量平台,重点项目,geek","['3', '5']",4.0,"['15', '30']",18.75
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,南山区,高级Python工程师/架构师,3-5年,本科,25k-50k,"国际化产品,竞争力薪资,初创团队,超大用户量","['3', '5']",4.0,"['25', '50']",31.25
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,南山区,Python,1-3年,大专,10k-20k,"六险一金,周末双休","['1', '3']",2.0,"['10', '20']",12.5
深圳市透明伞科技有限公司,Kiwi,50-150人,B轮,南山区,python后台开发工程师,1-3年,本科,20k-40k,"福利好,发展空间大","['1', '3']",2.0,"['20', '40']",25.0
深圳市中企工联保家电服务有限公司,中国联保,150-500人,A轮,龙岗区,Python 工程师,1-3年,大专,5k-10k,"周末双休,核心岗位,重点培养","['1', '3']",2.0,"['5', '10']",6.25
深圳市盖威科技有限公司,盖威,150-500人,不需要融资,南山区,python开发（风控）,3-5年,大专,10k-18k,福利待遇好,"['3', '5']",4.0,"['10', '18']",12.0
深圳格隆汇信息科技有限公司,格隆汇,50-150人,A轮,南山区,python工程开发师,1年以下,本科,9k-15k,"股权期权,年底双薪,绩效奖金,五险一金",['1'],1.0,"['9', '15']",10.5
广东科达洁能股份有限公司,科达洁能,2000人以上,上市公司,福田区,Python开发工程师（WEB方向）,1-3年,本科,8k-15k,"上市公司,五险一金,项目奖金,生日旅游","['1', '3']",2.0,"['8', '15']",9.75
深圳市泽林信息咨询有限公司,泽林信息,500-2000人,不需要融资,南山区,python数据分析,1-3年,本科,15k-30k,"全方位发展,为人师表","['1', '3']",2.0,"['15', '30']",18.75
深圳市有限元科技有限公司,有限元,50-150人,未融资,南山区,python软件开发工程师,1-3年,本科,7k-14k,面向对象,"['1', '3']",2.0,"['7', '14']",8.75
才友云商科技（深圳）有限公司,才友云商,15-50人,A轮,宝安区,PHP/Python/JAVA后端开发工程师,1-3年,大专,10K-18K,"五险一金,项目分红,年底分红,带薪休假","['1', '3']",2.0,"['10', '18']",12.0
福链（深圳）网络科技有限公司,福链科技,15-50人,天使轮,龙华新区,服务器后端工程师（python),3-5年,本科,15k-25k,服务器后端,"['3', '5']",4.0,"['15', '25']",17.5
深圳合纵能源技术有限公司,合纵能源,50-150人,天使轮,龙华新区,Python开发工程师,1-3年,本科,8k-15k,"周末双休,丰厚年终奖,不考勤打卡,阳光奋斗","['1', '3']",2.0,"['8', '15']",9.75
深信服科技股份有限公司,深信服科技集团,2000人以上,不需要融资,南山区,python开发工程师,不限,本科,10k-20k,"平台大,福利好,薪资高",[],0.0,"['10', '20']",12.5
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,Python开发工程师（深圳）,3-5年,本科,15k-30k,世界500强，丰厚奖金,"['3', '5']",4.0,"['15', '30']",18.75
深圳纳实大数据技术有限公司,纳实大数据,15-50人,天使轮,南山区,Python开发工程师,1-3年,大专,8k-15k,开发,"['1', '3']",2.0,"['8', '15']",9.75
深圳小步网络科技有限公司,小步网络,15-50人,B轮,宝安区,Python后台架构师,5-10年,本科,20k-40k,"海外项目,发展空间大,环境宽松,大牛多","['5', '10']",7.5,"['20', '40']",25.0
深圳市狮子软件有限公司,狮子软件,50-150人,未融资,南山区,python数据工程师,5-10年,大专,10k-18k,"五险一金,下午茶,双休,年度旅游","['5', '10']",7.5,"['10', '18']",12.0
深圳市客路网络科技有限公司,KLOOK 客路旅行,150-500人,C轮,福田区,Python后端工程师,1-3年,本科,13k-25k,"国际化平台,环境舒适,好玩有趣","['1', '3']",2.0,"['13', '25']",16.0
深圳市埃提思科技开发有限公司,ITS,15-50人,天使轮,南山区,Python后台高级开发经理,5-10年,本科,24k-33k,"股票期权,弹性工作时","['5', '10']",7.5,"['24', '33']",26.25
深圳市三牛犇科技有限公司,三牛犇科技,15-50人,A轮,南山区,Python大数据工程师,3-5年,本科,10k-19k,"绩效奖金,带薪年假,下午茶,健康关怀","['3', '5']",4.0,"['10', '19']",12.25
深圳华策辉弘科技有限公司,华策,50-150人,未融资,福田区,python工程师-大数据方向,1-3年,本科,10k-18k,"五险一金,带薪年假,年终奖金,绩效考核","['1', '3']",2.0,"['10', '18']",12.0
布里斯克（北京）科技有限公司,too,少于15人,天使轮,南山区,Python后端工程师,1-3年,本科,15k-20k,"薪资优厚,五险一金,股权奖励,项目分红","['1', '3']",2.0,"['15', '20']",16.25
深圳衡威尔科技有限公司,衡威尔,50-150人,上市公司,龙岗区,Python算法工程师助理包住,应届毕业生,不限,10K-15K,"深度学习,核心岗位,福利待遇好,晋升期快",[],0.0,"['10', '15']",11.25
深圳市前海源伞科技有限公司,深圳源伞科技,15-50人,天使轮,南山区,Web前端/Python研发工程师,不限,本科,12k-24k,"玩转开源,架构达人",[],0.0,"['12', '24']",15.0
深圳布谷鸟信息科技有限公司,布谷鸟科技,500-2000人,不需要融资,南山区,Python工程师（爬虫）,3-5年,本科,10k-15k,"福利多多,俊男靓女,绩效奖金,发展迅猛","['3', '5']",4.0,"['10', '15']",11.25
深圳市一面网络技术有限公司,一面数据,15-50人,A轮,南山区,Python爬虫工程师,不限,本科,10k-18k,"大数据领域,人工智能,清华系大牛,技术氛围浓",[],0.0,"['10', '18']",12.0
深圳市正易龙科技有限公司,正易龙,150-500人,不需要融资,南山区,Python服务端开发工程师,3-5年,本科,10k-20k,"公司气氛好,发展迅速,奖金多多,周未双休","['3', '5']",4.0,"['10', '20']",12.5
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,Python后台开发工程师（深圳）,不限,本科,10k-15k,世界500强 带薪年假 节日福利 绩效丰厚,[],0.0,"['10', '15']",11.25
深圳市盖威科技有限公司,盖威,150-500人,不需要融资,南山区,Python后台开发（风控组）,3-5年,大专,14k-22k,福利待遇好,"['3', '5']",4.0,"['14', '22']",16.0
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,Python开发工程师（人工智能业务）,3-5年,本科,15k-30k,"弹性时间,带薪休假,晋升大,氛围好","['3', '5']",4.0,"['15', '30']",18.75
深圳市联合信通科技有限公司,至优出行共享汽车,150-500人,未融资,南山区,Python后端工程师,1-3年,本科,10k-20k,发展快,"['1', '3']",2.0,"['10', '20']",12.5
深圳衡威尔科技有限公司,衡威尔,50-150人,上市公司,宝安区,Python算法工程师助理包住,应届毕业生,本科,10k-20k,"多次调薪,五险一金,年底双休,年终分红",[],0.0,"['10', '20']",12.5
深圳市一面网络技术有限公司,一面数据,15-50人,A轮,南山区,高级Python爬虫工程师,1-3年,本科,18k-30k,"大数据领域,人工智能,清华系大牛,技术氛围浓","['1', '3']",2.0,"['18', '30']",21.0
深圳小步网络科技有限公司,小步网络,15-50人,B轮,宝安区,Python爬虫工程师,3-5年,本科,15k-30k,"大牛云集,发展空间大,弹性上班","['3', '5']",4.0,"['15', '30']",18.75
深圳库尚信息技术有限公司,shein,2000人以上,B轮,南山区,Python开发工程师（内部系统开发）,1-3年,本科,10k-20k,"五险一金,加班餐补,交通补助,带薪年假","['1', '3']",2.0,"['10', '20']",12.5
深圳浩瀚星际网络科技有限公司,酸桃数据,15-50人,A轮,南山区,Python爬虫工程师,1-3年,本科,6k-12k,"氛围好,弹性上班,发展空间大","['1', '3']",2.0,"['6', '12']",7.5
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,GIS平台JAVA工作流与PYTHON脚本高级研发,3-5年,本科,15k-30k,"逻辑,架构,流程,沟通","['3', '5']",4.0,"['15', '30']",18.75
深圳市艾森智能技术有限公司,艾森智能,15-50人,天使轮,南山区,Python后端开发工程师,应届毕业生,本科,10k-20k,应届生,[],0.0,"['10', '20']",12.5
深圳游民网络科技有限公司,游民网络,15-50人,未融资,南山区,python游戏后端开发工程师,3-5年,大专,13k-25k,"周末双休,五险一金,创业公司","['3', '5']",4.0,"['13', '25']",16.0
深圳趣凡网络科技有限公司,趣凡科技,50-150人,未融资,南山区,python游戏服务器开发,1-3年,大专,10k-20k,"游戏,Linux,服务器","['1', '3']",2.0,"['10', '20']",12.5
前海泰坦科技（深圳）有限公司,前海泰坦科技,50-150人,不需要融资,福田区,python后台开发,应届毕业生,不限,11k-20k,"薪资高,项目多",[],0.0,"['11', '20']",13.25
深圳市宇斯盾科技有限公司,宇斯盾科技有限公司,50-150人,不需要融资,南山区,手游服务器开发 python优先,1-3年,不限,10k-20k,"非创业,弹性,高薪,成长","['1', '3']",2.0,"['10', '20']",12.5
富途网络科技（深圳）有限公司,富途网络,150-500人,C轮,,运营开发工程师（Python）,1-3年,本科,15k-30k,互联网金融,"['1', '3']",2.0,"['15', '30']",18.75
深圳市观麦网络科技有限公司,观麦科技,150-500人,A轮,南山区,python后台开发工程师,不限,本科,10k-18k,年轻、活力的团队、期权激励,[],0.0,"['10', '18']",12.0
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,python后台开发工程师（深圳/上海）,3-5年,本科,15k-30k,"行业领先,技术氛围浓,绩效奖金,腾讯福利","['3', '5']",4.0,"['15', '30']",18.75
深圳贝尔信息科技有限公司,Using.ai,少于15人,不需要融资,南山区,Python工程师（人工智能方向）,不限,本科,8k-16k,"高成长,人工智能",[],0.0,"['8', '16']",10.0
汇金智融（北京）科技有限公司,汇金智融,150-500人,上市公司,南山区,Java开发工程师（Python）,1-3年,本科,8k-14k,"年终奖,五险一金,加班费,带薪年假","['1', '3']",2.0,"['8', '14']",9.5
深圳市比特穿越科技有限公司,比特穿越,15-50人,天使轮,南山区,Python爬虫工程师,1-3年,本科,8k-12k,"产品有前景,氛围活跃,成长空间大,工作有趣","['1', '3']",2.0,"['8', '12']",9.0
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,罗湖区,C++/python后台研发工程师,3-5年,本科,15k-30k,"免费三餐,超优厚年终,腾讯华为背","['3', '5']",4.0,"['15', '30']",18.75
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,HY2-python后台开发工程师（深圳）,3-5年,本科,18k-30k,"五险一金,绩效奖金,带薪休假","['3', '5']",4.0,"['18', '30']",21.0
广东科达洁能股份有限公司,科达洁能,2000人以上,上市公司,福田区,Python全栈工程师,1-3年,本科,8k-15k,"上市公司,五险一金,项目奖金,生日旅游","['1', '3']",2.0,"['8', '15']",9.75
深圳市艾盟互联网服务有限公司,艾盟互联网,15-50人,未融资,盐田区,Linux （Python）软件开发工程师,1-3年,本科,10k-15k,"福利好,待遇佳,老板赞","['1', '3']",2.0,"['10', '15']",11.25
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,Python工程师（运维平台）,3-5年,本科,15k-30k,核心事业群 千万级日活 氛围好 组织扁平,"['3', '5']",4.0,"['15', '30']",18.75
富途网络科技（深圳）有限公司,富途网络,150-500人,C轮,南山区,运营开发工程师（Python）,3-5年,本科,15k-30k,"精英团队,弹性工作,行业独角兽,工作氛围","['3', '5']",4.0,"['15', '30']",18.75
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,福田区,科学计算软件开发工程师（ Python、C/C++、Fortran）,3-5年,本科,15k-25k,五险一金，年底双薪，氛围好，双休不打卡,"['3', '5']",4.0,"['15', '25']",17.5
平安科技（深圳）有限公司,平安科技,2000人以上,上市公司,福田区,Python 后台服务器开发,3-5年,本科,25k-40k,"资金丰富,领导好,大咖多,人工智能","['3', '5']",4.0,"['25', '40']",28.75
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,极光调研 -数据工程师 (Java/Python),3-5年,本科,15k-30k,"业界第一,14薪+,牛逼团队,D轮+","['3', '5']",4.0,"['15', '30']",18.75
深圳市百答科技有限公司,深圳市百答科技有限公司,50-150人,不需要融资,南山区,Python 自然语言处理,不限,本科,8k-15k,"人工智能,新手友好,成长空间大",[],0.0,"['8', '15']",9.75
在线途游（北京）科技有限公司,途游,150-500人,B轮,南山区,python游戏服务端高级技术,不限,本科,12k-24k,"公司氛围好,弹性工作制",[],0.0,"['12', '24']",15.0
深圳前海壹互联科技投资有限公司,壹互联,15-50人,A轮,南山区,"大数据开发工程师（spark,python）",3-5年,大专,15k-20k,spark,"['3', '5']",4.0,"['15', '20']",16.25
深圳市比特穿越科技有限公司,比特穿越,15-50人,天使轮,南山区,Python数据采集项目经理,1-3年,大专,8k-13k,"平台好,成长空间大,独挡一面,无干扰","['1', '3']",2.0,"['8', '13']",9.25
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,福田区,高级后端工程师（python、Go语言）,1-3年,本科,15k-25k,"五险一金,年底双薪,带薪年假,双休不打卡","['1', '3']",2.0,"['15', '25']",17.5
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,,Python测试开发工程师,3-5年,本科,15k-30k,给力薪酬 海景办公楼 高配健身房 员工食堂,"['3', '5']",4.0,"['15', '30']",18.75
深圳华策辉弘科技有限公司,华策,50-150人,未融资,福田区,Python算法工程师(推荐方向),1-3年,本科,12k-18k,"五险一金,双休","['1', '3']",2.0,"['12', '18']",13.5
汇金智融（北京）科技有限公司,汇金智融,150-500人,上市公司,南山区,python爬虫工程师,应届毕业生,本科,8k-16k,"五险一金,加班补贴,双休,7小时制",[],0.0,"['8', '16']",10.0
深圳可链科技有限公司,可链科技,50-150人,A轮,南山区,python数据爬虫工程师,3-5年,本科,8k-12k,"技术大牛,无限零食,带薪年假,团建出游","['3', '5']",4.0,"['8', '12']",9.0
深圳美丽经济科技有限公司,美丽经济,15-50人,不需要融资,南山区,python 爬虫开发工程师,1-3年,大专,10k-15k,"绩效奖金,氛围好,领导好,弹性时间","['1', '3']",2.0,"['10', '15']",11.25
深圳市云之梦科技有限公司,云之梦科技,50-150人,A轮,南山区,"后台开发工程师（C++,PYTHON,GO）",1-3年,大专,10k-15k,"薪资高,福利好,领导好,团队稳定","['1', '3']",2.0,"['10', '15']",11.25
思力科（深圳）电子科技有限公司,深圳思力科,50-150人,不需要融资,南山区,C++/Python/QT软件工程师,3-5年,本科,12k-24k,"带薪年假,年底双薪,定期体检,员工旅游","['3', '5']",4.0,"['12', '24']",15.0
富途网络科技（深圳）有限公司,富途网络,150-500人,C轮,南山区,社区服务端开发工程师(c++/python),3-5年,本科,20k-40k,"腾讯系团队,六险一金,扁平管理","['3', '5']",4.0,"['20', '40']",25.0
深圳新链科技企业（有限合伙）,深圳新链科技企业（有限合伙）,50-150人,未融资,南山区,python数据爬虫工程师,3-5年,本科,15k-20k,"五险一金,无限零食,团队出游,技术大神","['3', '5']",4.0,"['15', '20']",16.25
深圳华强聚丰电子科技有限公司,华强聚丰电子,150-500人,A轮,福田区,Python爬虫,1-3年,大专,8k-12k,平台,"['1', '3']",2.0,"['8', '12']",9.0
深圳可点科技有限公司,sosobtc,50-150人,A轮,南山区,python数据爬虫工程师,1-3年,本科,15k-20k,"技术型公司,互联网金融,行业引领,气氛好","['1', '3']",2.0,"['15', '20']",16.25
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,TEG13-python 计算后台开发工程师,3-5年,本科,20k-40k,机会好,"['3', '5']",4.0,"['20', '40']",25.0
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,Python测试开发工程师,不限,本科,15k-30k,给力薪酬 海景办公楼 高配健身房 员工食堂,[],0.0,"['15', '30']",18.75
深圳美丽经济科技有限公司,美丽经济,15-50人,不需要融资,南山区,Python爬虫开发工程师,1-3年,大专,10k-15k,"领导好,氛围好,弹性时间,绩效奖金","['1', '3']",2.0,"['10', '15']",11.25
深圳市泽林信息咨询有限公司,泽林信息,500-2000人,不需要融资,南山区,python爬虫工程师,1-3年,大专,5k-10k,"五险一金,弹性工作,办公环境好,年底双薪","['1', '3']",2.0,"['5', '10']",6.25
