公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,福田区,数据分析师,3-5年,本科,9k-14k,周末双休 五险一金 员工旅游
深圳市曾点信息技术培训有限公司,曾点,150-500人,不需要融资,南山区,数据分析,1-3年,本科,7k-9k,"大平台,高效率,弹性工作,氛围好"
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,数据分析师,3-5年,本科,10k-15k,"年终奖,双休,过节费,旅游"
深圳一叶知秋网络科技有限公司,一叶知秋,150-500人,D轮及以上,龙岗区,数据分析师,不限,本科,6k-12k,"有好奇心,对数据敏感,沟通强,思维强"
试金石信用服务有限公司,试金石信用,50-150人,不需要融资,南山区,数据分析师,3-5年,本科,15k-30k,行业前景好、大牛团队
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,数据分析师,不限,本科,6k-8k,互联网金融 上市公司 加班少 晋升空间
深圳市启明星电子商务有限公司,启明星,150-500人,B轮,南山区,MSSQ010-数据分析师,1-3年,本科,8k-15k,平台好 氛围佳 上升空间大 福利待遇优
深圳市小牛在线互联网信息咨询有限公司,小牛在线,150-500人,不需要融资,南山区,数据分析师,3-5年,本科,15k-25k,"公司发展好,部门成长性,领导好,氛围好"
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,南山区,数据分析师,3-5年,本科,15k-30k,"年底双薪,弹性制办公,带薪年假"
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,数据分析岗,1-3年,本科,7k-9k,"五险一金,带薪年假,节假日福利,周末双休"
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,数据分析师,3-5年,本科,15k-30k,"平台大,创新型,有挑战"
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,数据分析师,3-5年,本科,15k-25k,"团队有激情,工作有挑战,付出有回报,能留住人才"
深圳中业兴融互联网金融服务有限公司,深圳中业兴融,500-2000人,A轮,南山区,数据分析,1-3年,本科,5k-10k,"综合型集团,低调有实力,年轻又耐撕"
乐格商业咨询（深圳）有限公司,乐格信息,150-500人,A轮,福田区,数据分析师,1年以下,大专,3k-5k,"五险一金,带薪年假,欢迎应届生,周末双休"
深圳市恒信永利金融服务有限公司,恒信永利,2000人以上,不需要融资,南山区,数据分析师,3-5年,不限,15k-25k,"可发挥空间,团队优秀,技术前沿"
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,数据分析,3-5年,大专,10k-20k,"旅游,年终奖,过节费,环境好"
深圳市环球易购电子商务有限公司,环球易购,2000人以上,上市公司,南山区,数据分析师,不限,本科,5k-8k,上市公司 福利待遇优厚
神策网络科技（北京）有限公司,神策数据,150-500人,C轮,南山区,数据分析师-深圳,3-5年,本科,10k-20k,五险一金
深圳前海用友力合金融服务有限公司,友金所,500-2000人,不需要融资,南山区,数据分析岗,应届毕业生,本科,5k-9k,"平台大,福利好,开放氛围,领导好"
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,数据分析,1-3年,本科,7k-14k,"周末双休,免费班车,免费早餐,绩效奖"
深圳市启明星电子商务有限公司,启明星,150-500人,B轮,南山区,MSSQ010-数据分析师,1-3年,本科,8k-15k,平台好 氛围佳 上升空间大 福利待遇优
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,极光调研 - 数据分析师,1-3年,本科,10k-20k,"业界第一,14薪+,牛逼团队,D轮+"
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,数据分析师/高级数据分析师,5-10年,本科,25k-50k,"新加坡公司,东南亚市场,15天年假,大牛多"
深圳市明源云客电子商务有限公司,明源云,2000人以上,上市公司,南山区,数据分析师,3-5年,本科,18k-30k,扁平管理，创新氛围，牛人大咖多
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,数据分析,1-3年,本科,9k-15k,人才培养计
深圳市探娱互动科学文化有限公司,探娱互动科学@移动游戏发行,50-150人,C轮,南山区,数据分析师（985优先/强逻辑）,不限,本科,7k-14k,"除了努力和,奋斗还可以,加班加薪"
深圳前海达飞金融服务有限公司,即有分期,2000人以上,C轮,福田区,数据分析师/数据分析专员,1-3年,本科,8k-15k,福利好 氛围好 发展前景广阔
招联消费金融有限公司,招联金融,500-2000人,不需要融资,南山区,数据分析工程师,3-5年,本科,18k-28k,初创公司，朝阳行业，广阔的发展空间
宇星科技发展（深圳）有限公司,宇星科技,500-2000人,不需要融资,南山区,大数据分析师,5-10年,硕士,20K-30K,年中大假及旅游、年度体检、五险一金
任子行网络技术股份有限公司,任子行,500-2000人,上市公司,南山区,数据分析师-00657,不限,本科,5k-10k,出差海外
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,数据分析师,1-3年,本科,10k-15k,"五险一金,带薪年假,年终奖,年底双薪"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,龙岗区,数据分析师-深圳-02522,3-5年,本科,8k-16k,"五险一金,商业保险,聚餐聚会,节日礼品"
乐格商业咨询（深圳）有限公司,乐格信息,150-500人,A轮,福田区,数据分析&amp;pa,1-3年,大专,6k-7k,"周末双休,五险一金,带薪年假,对话ceo"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,南山区,数据分析师,1-3年,本科,8k-12k,六险一金，餐补，带薪休假，扁平管理，过亿用户，职业大牛，晋升空间
海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,50-150人,未融资,南山区,数据分析师,3-5年,本科,15k-20k,"年终奖,餐补,员工旅游,年度体检"
深圳市编玩边学教育科技有限公司,编玩边学,50-150人,B轮,南山区,数据分析师,1-3年,本科,10k-20k,"零食健身,五险一金,周末双休,氛围好"
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,数据分析-BI,3-5年,本科,10k-20k,大牛
深圳市盖威科技有限公司,盖威,150-500人,不需要融资,南山区,数据分析师,3-5年,本科,13k-18k,福利待遇好
华润置地有限公司,华润置地,2000人以上,上市公司,南山区,数据分析师,5-10年,本科,20k-30k,"公司平台好,发展空间大,五险一金,午餐补助"
厦门多快好省网络科技有限公司,多快好省,50-150人,不需要融资,南山区,数据分析员,1-3年,本科,8k-15k,"薪酬福利好,平台背景强,成长空间大,团队氛围好"
深圳天天看看信息技术有限公司,天天看看,150-500人,不需要融资,南山区,数据分析工程师,3-5年,本科,15k-30k,"老大请吃饭,有下午茶哦,学习机会多"
深圳云天励飞技术有限公司,云天励飞,150-500人,A轮,福田区,大数据数据开发工程师/大数据数据分析师,3-5年,本科,15k-30k,"技术大牛,独角兽,成长快,气氛融洽"
岩心科技（深圳）有限公司,AKULAKU,150-500人,B轮,南山区,数据分析师,1-3年,本科,10k-20k,"项目前景好,成长空间大,团队牛人多,期权激励"
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,数据分析主任,1-3年,本科,10k-15k,互联网金融 上市公司 加班少晋升空间
百融金融信息服务股份有限公司,百融金服,500-2000人,B轮,南山区,数据分析师,1-3年,本科,10k-20k,"五险一金,商业保险,弹性工作,福利补贴"
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,福田区,急聘数据分析,1-3年,本科,10k-19k,福利待遇好，发展空间大
深圳市玄关健康科技有限公司,玄关健康,150-500人,不需要融资,南山区,数据分析师,5-10年,本科,20k-30k,"大数据,大平台,健康产业,共同敲钟"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,数据分析师（大数据部）,3-5年,本科,10k-20k,公司平台大
深圳市名瑞德国际金融服务有限公司,深圳市名瑞德国际金融服务有限公司,50-150人,上市公司,福田区,数据分析专员/助理,不限,大专,8k-10k,"福利待遇好,年底双薪,周末双休,晋升空间大"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,数据分析（深圳）,1-3年,本科,10k-20k,"D轮+,14薪+,攻城狮氛围,弹性工作"
深圳云天励飞技术有限公司,云天励飞,150-500人,A轮,福田区,数据分析工程师,3-5年,本科,15k-30k,"核心技术部,核心团队,发展平台好,公司福利好"
凤金普惠信息咨询（深圳）有限公司,凤金普惠,150-500人,不需要融资,南山区,数据分析岗,3-5年,本科,15k-30k,"年终奖,平台大,福利好,假期多"
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,数据分析实习生,应届毕业生,本科,4k-6k,"转正机会,发展空间大,领导好"
深圳数位传媒科技有限公司,数位科技,50-150人,B轮,南山区,数据分析师,5-10年,本科,20k-30k,"14薪起,股票期权,大牛团队,技术氛围好"
中信银行股份有限公司信用卡中心,中信银行信用卡中心,2000人以上,上市公司,福田区,数据分析,1-3年,本科,15k-30k,金融行业 大数据分析 数据挖掘
深圳市人人聚财金融信息服务有限公司,人人聚财,2000人以上,A轮,南山区,数据分析师-科技赋能部,1-3年,本科,10k-15k,"奖金丰富,晋升空间大,向产品发展"
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,中级数据分析师,不限,本科,7k-10k,互联网金融 上市公司 加班少 晋升空间
浙江土拨鼠网络科技有限公司,土拨鼠,150-500人,A轮,宝安区,数据分析师,1年以下,大专,6k-10k,"地铁口便捷,发展空间大,重视程度高"
深圳前海用友力合金融服务有限公司,友金所,500-2000人,不需要融资,南山区,数据分析实习生,应届毕业生,本科,3k-5k,行业领先的薪酬+节日福利+有留用机会
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,数据分析专家,5-10年,本科,30k-50k,"新加坡公司,东南亚电商,15天年假,大牛多"
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,福田区,数据分析,1-3年,本科,6k-12k,福利好，项目佳，有发展空间
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,数据分析师,1-3年,本科,10k-20k,"福利待遇优,公司稳健,晋升宽广"
深圳爱问科技股份有限公司,爱问科技,50-150人,不需要融资,南山区,数据分析助理,1-3年,大专,8k-10k,数据分析
深圳前海联动云汽车租赁有限公司,前海联动云,2000人以上,不需要融资,罗湖区,数据分析专员,1-3年,本科,6k-10k,"共享项目,氛围良好,发展空间好"
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,高级数据分析师,5-10年,本科,30k-50k,"新加坡公司,东南亚电商,15天年假,大牛多"
深圳前海融金所互联网金融服务有限公司,融金所,150-500人,未融资,福田区,数据分析师,1-3年,本科,8k-14k,"绩效奖金,员工旅游,五险一金,年底奖金"
深圳市赢众通金融信息服务有限责任公司,小赢科技,500-2000人,B轮,南山区,数据分析专家,3-5年,本科,20k-25k,五险一金、定期体检、绩效奖金、午餐补助
深圳全棉时代科技有限公司,全棉时代,500-2000人,A轮,龙华区,数据分析专员,1-3年,本科,5k-8k,"发展前景好,晋升空间大,工作氛围好,公司福利好"
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,南山区,数据分析师,1-3年,本科,10k-20k,"上市公司,福利多多,弹性上班"
深圳市名瑞德国际金融服务有限公司,深圳市名瑞德国际金融服务有限公司,50-150人,上市公司,福田区,数据分析专员/金融助理,不限,大专,6k-8k,"免费培训,晋升空间大,外出旅游,周末双休"
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,数据分析总监,5-10年,硕士,38k-65k,"平台好,创新型,发展迅速,股权期权"
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,助理数据分析师-高科技事业部,1-3年,本科,6k-8k,"周末双休,免费早晚餐,福利齐全,美女如云"
深圳市盛世黄金股份有限公司,买金呗,150-500人,未融资,福田区,数据分析师,1-3年,大专,10k-15k,福利好
深圳市勒朗国际贸易有限公司,勒朗国际,15-50人,不需要融资,龙华新区,数据分析师,3-5年,本科,7k-12k,"电商,奢侈品,五险一金,定期旅游"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,宝安区,数据分析岗,3-5年,本科,14k-24k,电商平台
深圳全棉时代科技有限公司,全棉时代,500-2000人,A轮,龙华新区,数据分析师（官网）,3-5年,本科,10k-18k,"精英团队,千万级用户,高并发系统,福利待"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,极光调研 - 高级数据分析师,3-5年,本科,20k-30k,"业界第一,14薪+,牛逼团队,D轮+"
马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,福田区,中级数据分析师,3-5年,本科,15k-20k,"消费金融,持牌机构,待遇丰厚,晋升空间"
深圳花旦传媒有限公司,花旦传媒有限公司,50-150人,不需要融资,南山区,数据分析师,3-5年,本科,15k-25k,美女多 福利好 弹性工作 发展空间大
深圳市人人聚财金融信息服务有限公司,人人聚财,2000人以上,A轮,南山区,数据分析师-科技赋能部,3-5年,本科,10k-20k,"五险一金,绩效奖金,节日福利,员工旅游"
武汉民投金融服务有限公司,民投金服,150-500人,不需要融资,南山区,数据分析师,3-5年,本科,10k-18k,"薪酬高,福利好,氛围好,前景好"
深圳市完鼎智能科技有限公司,玩积分,15-50人,A轮,南山区,数据分析,应届毕业生,大专,6k-8k,"免费班车,免费早餐"
深圳市数聚能源科技有限公司,数聚能源科技,50-150人,天使轮,罗湖区,数据分析师,1-3年,硕士,12K-20K,有建模高手、股票期权、不打卡、领导nice!
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,龙岗区,数据分析师-深圳-02522,3-5年,本科,6k-12k,平台好，学习空间大
深圳森香科技有限公司,森香,15-50人,不需要融资,南山区,数据分析,不限,本科,4k-6k,"扁平管理,五险一金,公司福利好,员工旅游"
北京思恩客广告有限公司,蓝色光标SNK,150-500人,上市公司,南山区,数据分析经理,3-5年,大专,9k-13k,"4A公司,平台好,晋升快"
神策网络科技（北京）有限公司,神策数据,150-500人,C轮,南山区,数据分析师-校招（深圳）,应届毕业生,本科,8k-15k,"大数据,技术大牛"
深圳利民网金融信息服务有限公司,利民网,150-500人,A轮,南山区,数据分析师,3-5年,本科,8k-15k,优秀团队管理 福利待遇好
厦门吉比特网络技术股份有限公司,吉比特,150-500人,上市公司,南山区,数据分析经理/主管,3-5年,本科,20k-30k,"上市公司,平台大,福利好,发展空间大"
深圳沈鼓测控技术有限公司,沈鼓,50-150人,不需要融资,南山区,数据分析工程师,1-3年,大专,4k-6k,"开发,尊重,创新,提升"
北京思恩客广告有限公司,蓝色光标SNK,150-500人,上市公司,南山区,数据分析师/高级数据分析师,1-3年,本科,6k-8k,平台好
深圳宜聚互联网金融服务有限公司,深圳宜聚网,2000人以上,不需要融资,福田区,数据分析专员,1-3年,本科,7k-12k,"晋升平台广,工作氛围好,办公环境好"
中电科新型智慧城市研究院有限公司,中电科智慧院,150-500人,不需要融资,福田区,数据分析工程师,3-5年,本科,15k-20k,"国企,智慧城市,周末双休,薪资福利好"
深圳旗鱼移动科技有限公司,旗鱼移动科技,50-150人,未融资,南山区,数据分析师,1-3年,大专,10k-15k,五险一金
深圳市云之讯网络技术有限公司,云之讯,150-500人,B轮,南山区,高级数据分析师 (MJ000849),3-5年,不限,18k-30k,"B轮3亿,公司平台大,项目前景好,成长空间大"
深圳积木易搭科技技术有限公司,积木易搭,50-150人,天使轮,南山区,数据分析师,1-3年,大专,10k-15k,"福利好,五险一金,双休,发展好"
深圳市房多多网络科技有限公司,房多多,2000人以上,C轮,南山区,数据分析工程师/高级工程师,不限,本科,13k-26k,"学习机会多,发展空间大,领导好,平台大"
深圳市创梦天地科技有限公司,乐逗游戏,500-2000人,上市公司,南山区,数据分析专家,5-10年,本科,60k-100k,"福利好,待遇优厚"
深圳市康哲药业有限公司,康哲药业,2000人以上,上市公司,南山区,数据分析师,3-5年,本科,10k-15k,弹性工作制
深圳市递四方信息科技有限公司,4PX,500-2000人,D轮及以上,宝安区,数据分析,不限,大专,4k-7k,培训 晋升 平台大
北京希为科技有限公司,希为科技,15-50人,不需要融资,福田区,数据分析师,3-5年,本科,15k-25k,"技术领先,14薪,六险一金,团队优秀"
深圳荷包金融信息咨询有限公司,荷包金融,150-500人,不需要融资,南山区,数据分析师,3-5年,本科,10k-20k,自由舒心的工作氛围 丰厚到尖叫的年终奖
深圳市华成峰科技有限公司,华成峰集团,500-2000人,不需要融资,南山区,数据分析师,1-3年,大专,10k-15k,"五险一金,年终奖,部门经费,领导亲和"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,罗湖区,数据分析师（呼叫中心）,1-3年,本科,7k-14k,五险一金，绩效奖金，员工活动
深圳市招银前海金融资产交易中心有限公司,招银前海金融,50-150人,不需要融资,南山区,大数据分析师,不限,硕士,15k-30k,招商系，较好的薪酬福利和发展空间
任子行网络技术股份有限公司,任子行,500-2000人,上市公司,南山区,数据分析负责人,5-10年,本科,15k-25k,"国际平台,丰厚奖金,股权激励"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,罗湖区,数据分析师,3-5年,本科,8k-15k,"绩效奖金,五险一金,节日福利"
深圳盈富斯科技有限公司,盈富斯,150-500人,C轮,南山区,数据分析,1-3年,本科,18k-25k,"C轮融资,海归大神,下午茶"
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,龙岗区,数据分析工程师,3-5年,本科,13k-25k,"双休,福利健全,美女多,工资高"
深圳市一满乐科技有限公司,一满乐,15-50人,A轮,南山区,数据分析师,3-5年,本科,10k-15k,"硅谷团队,一线创投,前沿科技"
马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,福田区,高级数据分析师,5-10年,本科,20k-25k,发展前景好&nbsp;&nbsp;&nbsp;竞争力薪资
汇金智融（北京）科技有限公司,汇金智融,150-500人,上市公司,南山区,数据分析工程师,1-3年,本科,8k-12k,"五险一金,年终奖,加班费,大平台"
合肥英才企业管理咨询有限公司,英才,50-150人,天使轮,罗湖区,数据分析师,1-3年,大专,10k-20k,"五险一金,双休,加班少,福利好"
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,大数据分析师,5-10年,本科,25k-50k,"交通便利,福利好,氛围好"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,00578-数据分析工程师,3-5年,本科,10k-15k,核心产品
深圳开思时代科技有限公司,开思时代,150-500人,B轮,龙岗区,数据分析员,3-5年,本科,8k-12k,"绩效奖金,激励股票,年底双薪,5险一金"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,数据分析主管,3-5年,本科,15k-30k,"平台稳健,福利待遇优,团队管理"
深圳市赢众通金融信息服务有限责任公司,小赢科技,500-2000人,B轮,南山区,高级数据分析师,3-5年,本科,20k-35k,五险一金、午餐补助、舒适环境、弹性工作制
Oravel Stays Singapore PTE. LTD.,OYO,50-150人,不需要融资,南山区,数据分析师-中心运营,1-3年,本科,8k-16k,"牛人多,氛围棒,福利好"
广州市启畅金属制品有限公司,广州市启畅金属制品有限公司,150-500人,不需要融资,龙岗区,数据分析经理,5-10年,本科,15k-30k,"平台大,发展快,薪资高,双休"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,福田区,数据分析工程师,3-5年,本科,20k-40k,BAT团队、氛围好、技术牛
北京思恩客广告有限公司,蓝色光标SNK,150-500人,上市公司,南山区,数据分析专员,不限,本科,5k-8k,"4A公司,平台大,晋升快"
深圳市浩森小额贷款股份有限公司,浩森时贷,150-500人,未融资,宝安区,数据分析专员,1-3年,本科,5k-9k,"地铁周边,办公环境好,公司氛围好,带薪年假"
深圳华云信息系统有限公司,华云信息,50-150人,不需要融资,南山区,数据分析,3-5年,大专,15k-25k,"周末双休,五险一金"
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,数据分析师（成本或定价方向）,5-10年,硕士,15k-30k,"新加坡公司,东南亚电商,15天年假,大牛多"
梦网荣信科技集团股份有限公司,梦网荣信科技集团,500-2000人,上市公司,南山区,数据分析师,1-3年,本科,10k-20k,"福利好,平台大"
上海微创软件股份有限公司北京分公司,微创,2000人以上,上市公司,南山区,助理数据分析师,1-3年,大专,5k-7k,"双休,六险一金,免费早餐,免费班车"
深圳世联行地产顾问股份有限公司,世联行,2000人以上,上市公司,罗湖区,数据分析员,1-3年,本科,5k-7k,公司平台大，发展前景好
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,高级数据分析师（深圳）,3-5年,本科,15k-25k,"D轮+,14薪+,攻城狮氛围,弹性工作"
深圳市牛鼎丰科技有限公司,牛鼎丰科技,150-500人,不需要融资,南山区,资深数据分析师,5-10年,硕士,15k-30k,"弹性工作,大数据平台,精英团队"
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,资深数据分析师,5-10年,本科,15k-25k,"团队有激情,工作有挑战,付出有回报,能留住人才"
深圳市泽宝电子商务股份有限公司,Sunvalley,500-2000人,D轮及以上,龙岗区,数据分析师,3-5年,本科,15k-30k,老板nice 工作环境佳 HR贤良淑德
深圳市大头兄弟文化传播有限公司,逗拍,15-50人,A轮,宝安区,数据分析师,不限,本科,15k-30k,"年底双薪,年终奖,出国旅游,其他福利"
