公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,数据分析师（贷中与数据决策方向）,1-3年,本科,8k-16k,"互联网金融,大平台,奖金丰厚"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,数据分析师（贷款方向）,3-5年,本科,13k-25k,"互联网金融,平台好,发展空间大,氛围好"
仙人掌人工智能实验室（深圳）有限公司,仙人掌人工智能实验室,150-500人,未融资,龙岗区,数据分析师（基金业务方向）,3-5年,本科,15k-30k,"高薪,办公环境,福利,上班弹性"
深圳索信达数据技术股份有限公司,索信达,150-500人,上市公司,罗湖区,数据分析师/数据挖掘师（高级）,3-5年,本科,15k-30k,"专业培训,六险一金,年终奖金,定期检查"
茂业数智联合信息技术（深圳）有限公司,茂业数字,50-150人,未融资,罗湖区,数据分析主管（PowerBI）,3-5年,本科,9K-15K,集团科技公司，平台稳健，制度规范
凤金普惠信息咨询（深圳）有限公司,凤金普惠,150-500人,不需要融资,南山区,渠道质量分析岗（数据分析）,1-3年,本科,8k-16k,"福利好,平台大,薪资高,假期多"
彩讯科技股份有限公司,彩讯科技,500-2000人,不需要融资,福田区,高级业务数据分析师,1-3年,本科,10k-15k,五险一金 地铁周边
深圳思萨科技股份有限公司,思萨股份,150-500人,上市公司,福田区,数据分析专员（电商方向）,1-3年,大专,7k-10k,"成长快,发展空间大"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,数据分析开发工程师（深圳）,3-5年,本科,15k-30k,公司平台大，福利待遇好
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,中级数据分析师（App方向）,3-5年,本科,10k-20k,"六险一金,弹性工作时,周末双休,晋升调休"
深圳市人人聚财金融信息服务有限公司,人人聚财,2000人以上,A轮,南山区,风险管理（高级）数据分析师-风险管理部,3-5年,本科,10k-20k,"数据分析,风险管理"
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,企划主管（数据分析，业务分析）,3-5年,本科,8k-16k,"空间大,团队氛围好"
深圳冰川网络股份有限公司,冰川网络,500-2000人,上市公司,南山区,游戏数据分析师,1-3年,本科,10k-20k,"空间大,领导nic,项目奖金"
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,南山区,微信游戏数据分析员,1-3年,大专,6k-8k,"双休,六险一金,年底双薪"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,数据分析专员（深圳）,不限,本科,10k-15k,世界500强 带薪年假 节日福利 绩效丰厚
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,高级游戏数据分析师,3-5年,本科,15k-30k,亿级用户，大平台，给力薪酬
深圳前海联动云汽车租赁有限公司,前海联动云,2000人以上,不需要融资,罗湖区,风控数据分析师,1-3年,本科,7k-14k,"共享汽车,汽车出行,汽车金融,以租代购"
北京思恩客广告有限公司,蓝色光标SNK,150-500人,上市公司,南山区,数据分析师（数学相关专业应届）,应届毕业生,本科,5k-7k,大平台
深圳市思迪信息技术股份有限公司,思迪股份,500-2000人,B轮,南山区,数据分析师（机器学习）,1-3年,本科,10k-20k,"六险一金,弹性上班"
深圳金夸克数字科技有限公司,深圳金夸克数字科技有限公司,50-150人,不需要融资,罗湖区,数据分析（区块链/数字货币）,1-3年,本科,6k-8k,"带薪年假,节假日福利,周末双休,下午茶"
上海一米投资管理有限公司,易付税,150-500人,A轮,南山区,数据分析师（大数据风控）,3-5年,本科,15k-30k,"国资平台,银行高管,扁平管理,年终奖金"
招商证券股份有限公司,招商证券信息技术中心,2000人以上,上市公司,南山区,数据分析中级经理,1-3年,本科,20k-35k,"金融,科技"
深圳市国智互联网科技有限公司,国智科技,50-150人,不需要融资,南山区,风控数据分析师,3-5年,本科,15k-25k,"风控数据,数据分析师"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,MIG13-大数据分析师（深圳）,3-5年,本科,18k-36k,"大平台,大咖多,福利好"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,高级数据分析师（集团战略方向）,3-5年,本科,15k-25k,"互联网金融,金融大数据,发展空间大,氛围好"
深圳市爱智慧科技有限公司,爱智慧科技,15-50人,天使轮,龙岗区,财经数据分析助理,应届毕业生,本科,3k-5k,"扁平管理,办公零食"
深圳航路信息服务有限公司,航路,50-150人,A轮,南山区,互联网数据分析师,1-3年,本科,8k-16k,"领导好,美女多,氛围好,弹性工作制"
深圳前海用友力合金融服务有限公司,友金所,500-2000人,不需要融资,南山区,数据分析（风控方向）,1-3年,本科,8k-15k,公司发展前景好+薪酬福利优
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,经营分析岗（经营数据分析方向）（深圳）,不限,本科,10k-15k,500强，福利待遇
环球资源广告（深圳）有限公司,环球资源,2000人以上,上市公司,福田区,Business Analyst(商业数据分析员）,1-3年,本科,5k-10k,"大平台,福利完善,发展空间大"
深圳市大疆创新科技有限公司,DJI大疆创新,2000人以上,未融资,南山区,飞行数据分析高级专员/专员,1-3年,本科,8k-13k,"飞行数据,无人机,大疆"
深圳云天励飞技术有限公司,云天励飞,150-500人,A轮,福田区,数据分析挖掘服务架构师/开发总监,5-10年,本科,25k-50k,"六险一金,技术大牛,优秀团队,节日福利"
深圳橙心网络科技有限公司,橙心网络,50-150人,未融资,龙岗区,市场数据分析师实习生,应届毕业生,大专,4k-8k,"节日福利,提供住宿,师傅带新人,园林式办公"
深圳前海融金所互联网金融服务有限公司,融金所,150-500人,未融资,福田区,运营数据分析,3-5年,本科,10k-20k,"周末双休,五险一金,绩效奖金,员工俱乐部"
深圳市环球易购电子商务有限公司,环球易购,2000人以上,上市公司,南山区,运营数据分析专家,5-10年,本科,30k-35k,大平台
招商银行股份有限公司,招商银行,2000人以上,上市公司,南山区,风险数据分析岗,3-5年,本科,15k-20k,发展空间大
天道计然（北京）信息科技有限责任公司,美利金融,2000人以上,A轮,南山区,委外催收管理调查员（数据分析）,1-3年,本科,10k-15k,"六险一金,年终奖金,固定体检,带薪年假"
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,风险数据分析师（互联网金融）,1-3年,本科,8k-15k,"互联网金融,大平台,奖金丰厚"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,腾讯（深圳）大数据-数据挖掘、数据分析工程师,1-3年,硕士,20k-40k,"战略方向,大数据营销,智慧零售"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,高级风险数据分析师,5-10年,本科,15k-30k,"节日福利多,涨薪快,晋升空间大,平台大"
广东腾南网络信息科技有限公司,腾讯•大粤网,150-500人,未融资,南山区,数据分析师（政务项目）,1-3年,本科,8k-16k,"团队氛围,发展空间,互联网+"
招商银行股份有限公司,招商银行,2000人以上,上市公司,福田区,数据分析岗（公司金融）,应届毕业生,本科,15k-20k,"发展空间大,岗位晋升"
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,数据分析师（风险控制方向）,1-3年,本科,8k-15k,"大平台,奖金丰厚"
深圳善为投资有限公司,善为影业,50-150人,上市公司,福田区,商业数据分析师（行业分析方向）,3-5年,本科,8k-15k,"领导好,成长快,团队氛围好,双休"
上海微创软件股份有限公司北京分公司,微创,2000人以上,上市公司,南山区,微信游戏数据分析（外派到腾讯工作）,3-5年,大专,7k-9k,"双休,六险一金,免费班车,平台好"
中国平安财产保险股份有限公司,平安产险,2000人以上,上市公司,福田区,客户数据分析岗,3-5年,本科,15k-30k,"大公司,福利好,晋升空间大"
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,Python 数据分析,3-5年,大专,13k-25k,"最先进的技,大项目,交通便利,环境好"
深圳市买买提信息科技有限公司,买买提信息科技,150-500人,不需要融资,福田区,风控数据分析师,5-10年,本科,8k-10k,"氛围好,环境佳,福利好,上升空间大"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,南山区,风控数据分析师,1-3年,本科,13k-25k,"海景办公,节日福利"
深圳市泽林信息咨询有限公司,泽林信息,500-2000人,不需要融资,南山区,python数据分析,1-3年,本科,15k-30k,"全方位发展,为人师表"
深圳花样年投资咨询有限公司,花样年金融,150-500人,不需要融资,南山区,运营数据分析师,3-5年,本科,15k-20k,"五险一金,带薪年假,年度旅游,年度体检"
深圳市海云天科技股份有限公司,海云天科技,500-2000人,上市公司,南山区,数据分析工程师（互联网+教育）,3-5年,本科,8k-15k,上市公司 大平台 大发展 高福利
广州御银科技股份有限公司,御银科技,500-2000人,上市公司,福田区,数据分析工程师（大数据分析挖掘方向）,1-3年,本科,10k-13k,"周末双休,五险一金,年度体检,年度旅游"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,20718-数据分析工程师（深圳）,3-5年,本科,18k-36k,"大空间,大平台"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,数据分析师（金融业务）,1-3年,本科,8k-15k,"平台稳定,发展空间大,福利多"
深圳市网心科技有限公司,网心科技,150-500人,未融资,南山区,数据分析工程师（Hadoop ）,3-5年,本科,16k-32k,"大牛团队,扁平化,成长空间大"
深圳刷宝科技有限公司,深圳刷宝科技有限公司,150-500人,B轮,南山区,风控数据分析师(高级),5-10年,本科,20k-25k,"薪酬高,国际化,氛围好,业界专家带"
北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,南山区,数据分析专员（运营专员）,1-3年,大专,5k-8k,"高薪互联网,弹性工作,扁平管理,晋升空间大"
深圳旺金金融信息服务有限公司,投哪网,2000人以上,C轮,福田区,运营数据分析师,1-3年,本科,8k-15k,"万人企业,TOP2,上市前"
深圳市卓励科技有限公司,卓励科技,15-50人,未融资,南山区,运营总监（数据分析向）,5-10年,本科,30k-45k,文化开放
深圳市尚游网络科技有限公司,尚游游戏,150-500人,不需要融资,南山区,游戏运营（数据分析方向）,3-5年,本科,10k-20k,平台靠谱，十年积累，OV渠道资源
深圳市游科互动科技有限公司,游戏科学,15-50人,A轮,南山区,游戏运营（数据分析方向）,1-3年,本科,8k-15k,"知名产品,年终奖金,弹性工作,扁平管理"
深圳市创客工场科技有限公司,Makeblock,150-500人,B轮,南山区,运营管理专员（数据分析）,不限,本科,7k-10k,"创客文化,扁平架构,三餐免费,年轻活力"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,南山区,ETL BI Developer 数据分析师,3-5年,本科,12k-20k,"五险一金,带薪年假"
深圳花样年投资咨询有限公司,花样年金融,150-500人,不需要融资,南山区,风控模型数据分析师,1-3年,本科,15k-25k,"平台大,发展快,老板好"
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,数据分析师（信贷政策方向）,3-5年,本科,12k-22k,"补充医疗,丰厚年终奖,绩效奖金,定期体检"
北京艾科创意信息技术有限公司,活动行,50-150人,A轮,福田区,Java高级数据分析工程师,3-5年,本科,15k-30k,"五险一金,年终奖,全勤奖,环境好"
昆仑山矿泉水有限公司,昆仑山矿泉水,500-2000人,不需要融资,南山区,销售助理（数据分析）,1-3年,大专,6k-8k,"周末双休,六险一金,带薪年假,知名企业"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,数据分析与挖掘工程师（深圳）,3-5年,本科,18k-30k,"腾讯工作,环境一流,大牛带领,温馨文化"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,数据分析师（风控方向）,3-5年,本科,10k-20k,"互联网金融,金融大数据,发展空间大,氛围好"
北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,南山区,大区运营专员（数据分析师）,1-3年,本科,5k-9k,"知名互联网,扁平化管理,晋升空间大,弹性上班"
深圳刷宝科技有限公司,深圳刷宝科技有限公司,150-500人,B轮,南山区,风控数据分析师,3-5年,本科,10k-20k,"交通便利,五险一金,团队好"
深圳金达数据科技有限公司,深圳金达数据科技有限公司,150-500人,不需要融资,福田区,数据分析师（商城运营）,3-5年,大专,8k-15k,数据分析
招银网络科技（深圳）有限公司,招银网络科技,2000人以上,不需要融资,南山区,大数据分析工程师,3-5年,本科,15k-25k,大数据分析工程师
富途网络科技（深圳）有限公司,富途网络,150-500人,C轮,南山区,美股数据分析师,3-5年,本科,8k-15k,"腾讯系团队,六险一金,节假日福利,扁平管理"
鸿富锦精密工业(深圳)有限公司,富士康科技FG次集团,2000人以上,不需要融资,南山区,大数据分析工程师,3-5年,本科,16K-32K,"工作环境好,五险一金,年底双薪,发展平台大"
招商证券股份有限公司,招商证券信息技术中心,2000人以上,上市公司,南山区,数据分析中级经理（产品运营方向）,3-5年,本科,20k-35k,"数据分析,产品运营"
深圳光启超材料技术有限公司,光启集团,500-2000人,上市公司,南山区,大数据分析高级工程师,5-10年,本科,15k-30k,"人工智能,大数据,公共安全,上市公司"
深圳北斗应用技术研究院有限公司,北斗院,50-150人,未融资,南山区,大数据分析工程师,不限,本科,12k-17k,"餐费补贴,年度旅游,年度体检,带薪年假"
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,软件大数据分析工程师,1-3年,本科,20k-40k,"福利好,平台大,工作氛围赞,同事颜值高"
深圳共筑网络科技有限公司,共筑网科,15-50人,A轮,南山区,大数据分析工程师,3-5年,本科,10k-15k,"五险一金,固定双休,扁平化管理,年终奖金"
晨星资讯（深圳）有限公司,晨星Morningstar,2000人以上,上市公司,福田区,股票数据分析员,不限,本科,5k-7k,"五险一金,专业培训,年终奖金,弹性工作"
深圳市迷你玩科技有限公司,迷你玩,50-150人,B轮,南山区,大数据分析开发工程师,应届毕业生,大专,25k-50k,领导好
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,数据分析工程师（深圳）,1-3年,本科,15k-30k,"大平台,薪酬福利,职业发展"
深圳光启超材料技术有限公司,光启集团,500-2000人,上市公司,南山区,大数据分析高级工程师,3-5年,本科,15k-30k,"大数据,技术大牛多,人工智能,核心业务"
深圳就位网科技有限公司,就位网,15-50人,未融资,宝安区,大数据分析算法工程师,1-3年,本科,8k-12k,"大数据开发,算法工程师,数据挖掘,开发工程师"
深圳慧眼云信息技术有限公司,慧眼云,15-50人,天使轮,南山区,大数据分析SaaS系统架构师,3-5年,本科,15K-25K,初创公司，大数据，技术合伙人，股权或期权
卓世达科科技(深圳)有限公司,卓世达科,150-500人,不需要融资,南山区,SEO 用户数据分析,3-5年,本科,8k-12k,"五险一金,带薪年假,弹性工作"
招商银行股份有限公司,招商银行,2000人以上,上市公司,福田区,大数据分析岗（风险管理）,应届毕业生,本科,15k-20k,"发展空间大,岗位晋升"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,25924-HY-数据分析开发工程师（深圳）,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SNG_BI_高级数据分析师,3-5年,本科,20k-40k,"良好的氛围,机会多,业务范围广"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,投资孵化中心大数据分析师（深圳）,3-5年,本科,15k-30k,"腾讯大平台,福利待遇佳"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,微信搜索数据分析工程师,不限,本科,20k-40k,"技术大牛多,福利好"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,HY2-高级数据分析开发工程师（深圳）,3-5年,本科,18k-30k,"五险一金,绩效奖金,带薪休假"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,风控（海外）策略及数据分析工程师（深圳）,3-5年,硕士,25k-40k,"氛围和谐,福利齐全,长期激励,年度旅游"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,18402-暗黑类手游数据分析和挖掘,3-5年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,18402-【侍魂】手游数据分析,3-5年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,移动游戏高级数据分析师,3-5年,本科,18k-30k,"绩效奖金,五险一金,带薪休假"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,移动游戏高级数据分析师,3-5年,本科,18k-30k,"绩效奖金,五险一金,带薪休假"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,18402-次世代高自由度MMORPG手游数据分析,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,21228-女性向游戏数据分析（深圳）,1-3年,本科,15k-30k,"免费班车,带薪年假,零食水果"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,微信搜索推荐数据分析工程师（深圳）,3-5年,本科,20k-35k,"技术大牛多,福利好,工作氛围好"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,腾讯-王者荣耀电竞市场数据分析（深圳）,3-5年,本科,15k-30k,"腾讯工作,环境一流,大牛带领,温馨文化"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SA-腾讯社交广告数据分析师 （深圳 ）,1-3年,本科,20k-30k,氛围好
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SA-腾讯社交广告数据分析工程师（微信广告 深圳）,1-3年,本科,18k-36k,鹅厂福利
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SA-腾讯社交广告数据分析工程师（微信广告方向）,1-3年,本科,18k-36k,"鹅厂福利,最多5个字,最多5个字,最多5个字"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,23517-《仙侠类MMO》手游数据分析师,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,25926-用户画像大数据分析工程师（深圳）,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,福田区,贷后高级数据分析师,1-3年,本科,10k-20k,绩效奖金，五险一金，节日福利
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,商业数据分析-经理,5-10年,本科,20k-30k,"企业文化,职业发展,薪酬福利,工作环境"
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,电商数据分析师,1-3年,本科,6k-7k,"五百强外资,工作氛围好,晋升渠道广"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,00386-数据分析经理,3-5年,本科,15k-20k,核心产品
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,高级数据分析师（广告业务）,3-5年,本科,14k-25k,"D轮+,14薪+,大数据平台,弹性工作"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,数据分析主管（广告业务）,3-5年,本科,20k-30k,"D轮+,14薪+,大数据平台,弹性工作"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,数据分析主管（市场）,3-5年,本科,20k-25k,"公司平台大,发展前景好,福利待遇好,部门氛围好"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,罗湖区,数据分析（信审）,1-3年,本科,8k-15k,"数据挖掘,数据分析"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,高级数据分析师（数据建模方向）,3-5年,本科,15k-25k,"平台成熟,发展空间广"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,高级数据分析师（金融APP方向）,3-5年,本科,15k-25k,"D轮+,大数据平台,14薪+,弹性工作"
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,BI数据分析师,3-5年,本科,15k-30k,"新加坡公司,东南亚电商,15天年假,大牛多"
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,高级广告数据分析师,3-5年,本科,20k-40k,核心事业群 千万级日活 氛围好 组织扁平
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,数据分析运营助理,1-3年,本科,6k-7k,"免费早晚餐,上市公司,年终奖,节日福利"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,福田区,数据分析经理（风控）,5-10年,本科,20k-35k,专业风控团队，发展平台大，节日福利
深圳依时货拉拉科技有限公司,货拉拉手机打车软件,500-2000人,C轮,福田区,数据分析专员（人力资源方向）(J10953),1-3年,本科,6k-9k,"年终奖,五险一金,下午茶,旅游"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,19116-腾讯觅影数据分析高级产品经理（深圳）,3-5年,本科,15k-30k,"大平台,大咖多,大空间,前景广阔"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,数据分析师（贷款营销方向）,1-3年,本科,8k-16k,"互联网金融,平台好,福利优厚,氛围好"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,大数据分析工程师,3-5年,本科,15k-30k,"五险一金,员工旅游,弹性工作,项目奖金"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,MIG07-安全大数据分析（深圳）,3-5年,本科,15k-30k,"免费班车,免费夜宵,优秀团队"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,MIG07-安全大数据分析（深圳）,1-3年,本科,18k-36k,"大平台,新领域,大咖多"
